index,keyword,date,search
964,쇼츠,2025-11-19,33.69214
965,쇼츠,2025-11-20,34.44564
966,쇼츠,2025-11-21,35.41442
967,쇼츠,2025-11-22,32.72335
968,쇼츠,2025-11-23,30.13993
969,쇼츠,2025-11-24,32.40043
970,쇼츠,2025-11-25,33.58449
971,쇼츠,2025-11-26,36.70613
972,쇼츠,2025-11-27,36.27556
973,쇼츠,2025-11-28,31.324
974,쇼츠,2025-11-29,30.35522
975,쇼츠,2025-11-30,27.77179
976,쇼츠,2025-12-01,30.89343
977,쇼츠,2025-12-02,35.52206
978,쇼츠,2025-12-03,31.43164
979,쇼츠,2025-12-04,31.53928
980,쇼츠,2025-12-05,35.84499
981,쇼츠,2025-12-06,27.87944
982,쇼츠,2025-12-07,30.03229
983,쇼츠,2025-12-08,32.40043
984,쇼츠,2025-12-09,36.3832
985,쇼츠,2025-12-10,33.90742
986,쇼츠,2025-12-11,34.23035
987,쇼츠,2025-12-12,33.26157
988,쇼츠,2025-12-13,27.34122
989,쇼츠,2025-12-14,29.27879
990,쇼츠,2025-12-15,36.92142
991,쇼츠,2025-12-16,33.47685
992,쇼츠,2025-12-17,36.06027
993,쇼츠,2025-12-18,34.98385
994,쇼츠,2025-12-19,31.75457
995,쇼츠,2025-12-20,28.20236
996,쇼츠,2025-12-21,29.17115
997,쇼츠,2025-12-22,34.01506
998,쇼츠,2025-12-23,35.30678
999,쇼츠,2025-12-24,31.64693
1000,쇼츠,2025-12-25,26.37244
1001,쇼츠,2025-12-26,26.2648
1002,쇼츠,2025-12-27,26.04951
1003,쇼츠,2025-12-28,26.58772
1004,쇼츠,2025-12-29,33.47685
1005,쇼츠,2025-12-30,30.35522
1006,쇼츠,2025-12-31,27.55651
1007,쇼츠,2026-01-01,27.55651
1008,쇼츠,2026-01-02,30.5705
1009,쇼츠,2026-01-03,25.5113
1010,쇼츠,2026-01-04,29.49407
1011,쇼츠,2026-01-05,36.70613
1012,쇼츠,2026-01-06,33.90742
1013,쇼츠,2026-01-07,31.86221
1014,쇼츠,2026-01-08,37.1367
